"","X.3","X.2","X.1","X","hyena_ID","date_sampling","sample_ID.x","clan","sex","birthdate","age_sampling","age_sampling_cat","mucin","IgA","CSocialRank","genetic_mum"
"85",85,85,85,85,"M567","9/11/2007","X6415","M","M","3/15/2007",180,"sampled_as_juvenile",124.9496811,589694.0918,-0.72,"M297"
"86",86,86,86,86,"M567","11/26/2007","X6689","M","M","3/15/2007",256,"sampled_as_juvenile",83.16896083,48485.81053,-0.76,"M297"
"87",87,87,87,87,"M581","1/31/2008","X6824","M","F","8/29/2007",155,"sampled_as_juvenile",111.6863492,3575288.623,0.38,"M418"
"88",88,88,88,88,"M581","7/26/2010","B610","M","F","8/29/2007",1062,"sampled_as_adult",22.30948684,207538.3274,0.94,"M418"
"89",89,89,89,89,"M583","11/26/2007","X6685","M","M","9/4/2007",83,"sampled_as_juvenile",547.2846023,2647529.395,0.94,"M477"
"90",90,90,90,90,"M583","2/19/2008","X6889","M","M","9/4/2007",168,"sampled_as_juvenile",248.6879447,2533975.725,0.94,"M477"
"91",91,91,91,91,"M584","2/20/2008","X6894","M","M","9/6/2007",167,"sampled_as_juvenile",214.0469367,250197.2874,0.88,"M421"
"92",92,92,92,92,"M592","7/1/2008","X6988","M","M","12/10/2007",204,"sampled_as_juvenile",156.0750603,454835.899,0.61,"M436"
"93",93,93,93,93,"M593","7/1/2008","X6992","M","M","12/10/2007",204,"sampled_as_juvenile",266.965403,4698152.141,0.61,"M436"
"94",94,94,94,94,"M595","11/12/2008","X7456","M","F","6/2/2008",163,"sampled_as_juvenile",74.51198937,131914.9946,-0.5,"M517"
"95",95,95,95,95,"M597","10/3/2008","X7442","M","F","6/24/2008",101,"sampled_as_juvenile",91.46286744,1994206.168,-0.83,"M522"
"96",96,96,96,96,"M597","5/16/2009","X8089","M","F","6/24/2008",326,"sampled_as_juvenile",68.06972526,374874.7016,-0.78,"M522"
"97",97,97,97,97,"M600","1/8/2009","X7579","M","F","6/18/2008",204,"sampled_as_juvenile",111.7151999,388884.3418,0.11,"M438"
"98",98,98,98,98,"M604","11/14/2008","X7466","M","F","8/9/2008",97,"sampled_as_juvenile",NA,NA,-0.72,"M297"
"99",99,99,99,99,"M604","3/3/2009","X7999","M","F","8/9/2008",206,"sampled_as_juvenile",219.6341415,8519217.47,-0.67,"M297"
"100",100,100,100,100,"M604","11/16/2010","B1287","M","F","8/9/2008",829,"sampled_as_adult",95.3701648,286656.7594,-0.52,"M297"
"101",101,101,101,101,"M605","10/3/2008","X7448","M","F","8/9/2008",55,"sampled_as_juvenile",103.6240404,4356111.169,-0.77,"M297"
"102",102,102,102,102,"M605","1/8/2009","X7573","M","F","8/9/2008",152,"sampled_as_juvenile",154.3372008,3780555.375,-0.67,"M297"
"103",103,103,103,103,"M608","2/27/2009","X7933","M","F","8/28/2008",183,"sampled_as_juvenile",142.9020892,5141858.333,-0.28,"M447"
"104",104,104,104,104,"M615","2/4/2009","X7637","M","F","10/17/2008",110,"sampled_as_juvenile",361.2833173,2000986.556,-0.17,"M344"
"105",105,105,105,105,"M617","2/4/2009","X7642","M","M","10/17/2008",110,"sampled_as_juvenile",202.1170021,4051437.499,-0.17,"M344"
"106",106,106,106,106,"M633","11/25/2010","B1430","M","F","4/14/2009",590,"sampled_as_juvenile",48.34990331,56723.15271,1,"M418"
"107",107,107,107,107,"M633","12/9/2017","B9915","M","F","4/14/2009",3161,"sampled_as_adult",36.72817181,25479.20158,1,"M418"
"108",108,108,108,108,"M636","11/15/2009","X8774","M","M","5/30/2009",169,"sampled_as_juvenile",NA,NA,1,"M421"
"109",109,109,109,109,"M637","10/16/2009","X8661","M","M","5/30/2009",139,"sampled_as_juvenile",145.6385366,292113.1668,0.79,"M421"
"110",110,110,110,110,"M639","10/16/2009","X8667","M","M","6/5/2009",133,"sampled_as_juvenile",180.9412277,948808.4964,0.84,"M477"
"111",111,111,111,111,"M659","6/26/2010","B318","M","M","4/3/2010",84,"sampled_as_juvenile",245.2259854,3502623.486,0.11,"M273"
"112",112,112,112,112,"M660","6/28/2010","B340","M","F","4/3/2010",86,"sampled_as_juvenile",123.2366613,1818630.007,0.11,"M273"
"113",113,113,113,113,"M661","8/26/2010","B740","M","F","5/2/2010",116,"sampled_as_juvenile",246.3776396,117518.1951,0.54,"M393"
"114",114,114,114,114,"M662","9/1/2010","B783","M","M","5/2/2010",122,"sampled_as_juvenile",90.847412,7283.076604,0.54,"M393"
"115",115,115,115,115,"M668","10/20/2010","B1065","M","F","6/14/2010",128,"sampled_as_juvenile",264.0470389,818052.1882,0.35,"M508"
"116",116,116,116,116,"M669","10/1/2010","B923","M","M","6/14/2010",109,"sampled_as_juvenile",279.0051783,106612.9644,0.35,"M508"
"117",117,117,117,117,"M701","7/4/2011","B2714","M","F","1/10/2011",175,"sampled_as_juvenile",134.5409164,75007.34856,0.07,"M344"
"118",118,118,118,118,"M701","9/19/2011","B2867","M","F","1/10/2011",252,"sampled_as_juvenile",50.43767577,317535.1738,0.13,"M344"
"119",119,119,119,119,"M701","11/24/2014","B6149","M","F","1/10/2011",1414,"sampled_as_adult",72.78007873,83759.39099,-0.09,"M344"
"120",120,120,120,120,"M702","7/4/2011","B2703","M","F","1/10/2011",175,"sampled_as_juvenile",113.8389463,51877.60908,0.07,"M344"
"121",121,121,121,121,"M706","10/28/2011","B2905","M","F","2/18/2011",252,"sampled_as_juvenile",70.65850447,85695.2299,0.79,"M503"
"122",122,122,122,122,"M706","10/29/2015","B7187","M","F","2/18/2011",1714,"sampled_as_adult",66.87620569,100485.6642,0.71,"M503"
"123",123,123,123,123,"M740","11/30/2012","B3543","M","M","6/28/2012",155,"sampled_as_juvenile",206.626625,873580.1201,0.23,"M396"
"124",124,124,124,124,"M744","12/1/2017","B9861","M","F","6/20/2012",1990,"sampled_as_adult",23.57881561,125092.1618,-0.45,"M604"
"125",125,125,125,125,"M746","11/30/2012","B3538","M","F","6/28/2012",155,"sampled_as_juvenile",104.3713063,502315.8725,0.23,"M396"
"126",126,126,126,126,"M769","10/24/2013","B4345","M","M","5/14/2013",163,"sampled_as_juvenile",NA,NA,-0.24,"M550"
"127",127,127,127,127,"M784","6/10/2014","B5027","M","F","9/25/2013",258,"sampled_as_juvenile",172.7632243,898389.3263,0.71,"M706"
"128",128,128,128,128,"M784","9/9/2016","B8149","M","F","9/25/2013",1080,"sampled_as_adult",27.13256894,256237.6738,0.59,"M706"
"129",129,129,129,129,"M787","11/29/2014","B6255","M","F","10/27/2013",398,"sampled_as_juvenile",135.0033311,644483.6432,0.49,"M532"
"130",130,130,130,130,"M787","11/2/2015","B7214","M","F","10/27/2013",736,"sampled_as_adult",67.70082937,23515.37512,0.35,"M532"
"131",131,131,131,131,"M791","11/28/2017","B9823","M","F","11/17/2013",1472,"sampled_as_adult",45.80945268,120845.561,0.86,"M633"
"132",132,132,132,132,"M813","2/16/2015","B6506","M","F","9/29/2014",140,"sampled_as_juvenile",126.7458534,4047315.948,-0.69,"M545"
"133",133,133,133,133,"M819","2/16/2015","B6501","M","F","9/29/2014",140,"sampled_as_juvenile",102.9994251,611703.3037,-0.69,"M545"
"134",134,134,134,134,"M887","7/15/2017","B9221","M","M","4/3/2017",103,"sampled_as_juvenile",76.7780743,96143.40693,0.33,"M600"
"135",135,135,135,135,"M887","12/27/2017","B9996","M","M","4/3/2017",268,"sampled_as_juvenile",48.61185632,76247.56745,0.33,"M600"
"136",136,136,136,136,"M903","3/1/2018","C129","M","M","8/21/2017",192,"sampled_as_juvenile",42.79185535,41237.41621,-0.68,"M545"
"137",137,137,137,137,"P316","10/13/2010","B1008","P","F","7/27/1999",4096,"sampled_as_adult",425.5989917,960.4016888,-1,"P166"
"138",138,138,138,138,"P423","11/14/2009","X8770","P","F","1/10/2004",2135,"sampled_as_adult",84.55215733,59615.85192,0.5,"P169"
"139",139,139,139,139,"P427","6/21/2004","X3300","P","M","2/28/2004",114,"sampled_as_juvenile",NA,NA,0.11,"P159"
"140",140,140,140,140,"P436","6/29/2004","X3322","P","M","4/15/2004",75,"sampled_as_juvenile",NA,NA,-1,"P316"
"141",141,141,141,141,"P438","11/26/2017","B9813","P","F","6/3/2004",4924,"sampled_as_adult",17.42396487,46907.6239,-0.21,"P198"
"142",142,142,142,142,"P450","1/5/2018","C52","P","F","4/19/2005",4644,"sampled_as_adult",46.28163556,108226.4024,0.89,"P197"
"143",143,143,143,143,"P474","9/12/2016","B8175","P","F","1/6/2006",3902,"sampled_as_adult",32.62074394,95634.53526,0.35,"P164"
"144",144,144,144,144,"P474","1/16/2017","B8825","P","F","1/6/2006",4028,"sampled_as_adult",66.15487779,68013.76914,0.33,"P164"
"145",145,145,145,145,"P489","9/21/2007","X6464","P","F","6/16/2006",462,"sampled_as_juvenile",NA,NA,0.93,"P418"
"146",146,146,146,146,"P489","7/14/2009","X8435","P","F","6/16/2006",1124,"sampled_as_adult",NA,NA,0.81,"P418"
"147",147,147,147,147,"P516","10/25/2007","X6587","P","F","7/30/2007",87,"sampled_as_juvenile",NA,NA,-0.45,"P429"
"148",148,148,148,148,"P518","11/29/2007","X6757","P","F","8/3/2007",118,"sampled_as_juvenile",191.7797711,3745785.877,1,"P197"
"149",149,149,149,149,"P518","1/5/2018","C47","P","F","8/3/2007",3808,"sampled_as_adult",93.93299497,72513.60757,1,"P197"
"150",150,150,150,150,"P529","2/18/2008","X6867","P","F","10/18/2007",123,"sampled_as_juvenile",133.9275807,5199582.942,-0.24,"P198"
"151",151,151,151,151,"P529","9/1/2015","B6994","P","F","10/18/2007",2875,"sampled_as_adult",53.52774468,164208.6278,0.28,"P198"
"152",152,152,152,152,"P557","10/21/2009","X8699","P","F","6/20/2009",123,"sampled_as_juvenile",112.021273,236924.8797,0.6,"P169"
"153",153,153,153,153,"P559","10/20/2009","X8691","P","F","6/25/2009",117,"sampled_as_juvenile",70.81654718,352924.5341,-1,"P316"
"154",154,154,154,154,"P559","11/7/2009","X8749","P","F","6/25/2009",135,"sampled_as_juvenile",42.19642653,38986.63083,-1,"P316"
"155",155,155,155,155,"P559","11/14/2009","X8766","P","F","6/25/2009",142,"sampled_as_juvenile",222.6253513,201916.0027,-1,"P316"
"156",156,156,156,156,"P561","10/20/2009","X8687","P","F","6/25/2009",117,"sampled_as_juvenile",64.99594191,279424.136,-1,"P316"
"157",157,157,157,157,"P563","9/30/2009","X8572","P","M","7/9/2009",83,"sampled_as_juvenile",94.11230005,455215.4673,-0.45,"P223"
"158",158,158,158,158,"P564","9/23/2009","X8549","P","F","7/9/2009",76,"sampled_as_juvenile",115.2368164,1145731.457,-0.45,"P223"
"159",159,159,159,159,"P566","11/10/2009","X8760","P","F","7/7/2009",126,"sampled_as_juvenile",95.29019887,1233859.586,-0.06,"P474"
"160",160,160,160,160,"P587","7/5/2010","B425","P","F","3/21/2010",106,"sampled_as_juvenile",402.6287896,269486.0269,-0.12,"P381"
"161",161,161,161,161,"P589","3/28/2011","B2287","P","F","3/27/2010",366,"sampled_as_juvenile",34.89976918,8145.014654,0.69,"P497"
"162",162,162,162,162,"P589","11/14/2014","B6359","P","F","3/27/2010",1693,"sampled_as_adult",35.80083822,313604.2942,0.47,"P497"
"163",163,163,163,163,"P590","3/28/2011","B2293","P","M","3/27/2010",366,"sampled_as_juvenile",30.17800609,10448.17488,0.69,"P497"
"164",164,164,164,164,"P591","7/5/2010","B433","P","M","3/21/2010",106,"sampled_as_juvenile",303.0396282,9905643.86,-0.12,"P381"
"165",165,165,165,165,"P607","2/22/2011","B1892","P","F","8/30/2010",176,"sampled_as_juvenile",94.43104835,16758.43608,0.94,"P518"
"166",166,166,166,166,"P608","2/22/2011","B1885","P","M","8/30/2010",176,"sampled_as_juvenile",160.925459,31698.75906,0.94,"P518"
"167",167,167,167,167,"P616","7/4/2012","B3242","P","F","9/20/2010",653,"sampled_as_juvenile",73.66295,27725.52531,-0.16,"P505"
"168",168,168,168,168,"P617","3/17/2011","B2250","P","M","12/15/2010",92,"sampled_as_juvenile",123.3163803,38223.24015,-0.03,"P473"
"169",169,169,169,169,"P618","3/16/2011","B2198","P","M","12/15/2010",91,"sampled_as_juvenile",110.2925378,389411.3812,-0.03,"P473"
"170",170,170,170,170,"P632","11/17/2011","B2980","P","F","2/18/2011",272,"sampled_as_juvenile",NA,NA,0.47,"P273"
"171",171,171,171,171,"P632","2/12/2015","B6492","P","F","2/18/2011",1455,"sampled_as_adult",NA,NA,0.47,"P273"
"172",172,172,172,172,"P642","9/3/2016","B8097","P","F","7/2/2011",1890,"sampled_as_adult",27.41933568,53623.44949,0.86,"P489"
"173",173,173,173,173,"P644","1/3/2017","B8751","P","F","9/10/2011",1942,"sampled_as_adult",141.5854042,1930950.257,-0.18,"P438"
"174",174,174,174,174,"P657","9/3/2012","B3321","P","F","10/29/2011",310,"sampled_as_juvenile",70.41139393,341347.8207,0.12,"P474"
"175",175,175,175,175,"P667","8/17/2016","B7947","P","F","5/5/2012",1565,"sampled_as_adult",122.8266656,8836.833249,-0.64,"P332"
"176",176,176,176,176,"P673","9/13/2012","B3354","P","F","5/5/2012",131,"sampled_as_juvenile",90.02422109,1362795.142,-1,"P316"
"177",177,177,177,177,"P674","9/13/2012","B3358","P","F","5/5/2012",131,"sampled_as_juvenile",206.5955963,1782652.836,-1,"P316"
"178",178,178,178,178,"P701","6/25/2013","B4285","P","F","2/16/2013",129,"sampled_as_juvenile",100.4813678,493780.5915,-0.89,"P463"
"179",179,179,179,179,"P703","6/25/2013","B4290","P","F","2/16/2013",129,"sampled_as_juvenile",105.150746,1025047.738,-0.89,"P463"
"180",180,180,180,180,"P715","3/17/2014","B4940","P","F","9/10/2013",188,"sampled_as_juvenile",125.5897521,495544.4833,0.64,"P507"
"181",181,181,181,181,"P715","6/29/2016","B7715","P","F","9/10/2013",1023,"sampled_as_adult",50.0190662,47360.25658,0.55,"P507"
"182",182,182,182,182,"P750","1/5/2015","B6288","P","F","5/28/2014",222,"sampled_as_juvenile",96.61835443,479438.3076,-0.89,"P281"
"183",183,183,183,183,"P750","1/2/2017","B8742","P","F","5/28/2014",950,"sampled_as_adult",41.2891058,96143.40693,-0.38,"P281"
"184",184,184,184,184,"P755","2/10/2015","B6477","P","F","11/5/2014",97,"sampled_as_juvenile",NA,NA,-0.32,"P529"
"185",185,185,185,185,"P772","9/14/2017","B9444","P","F","6/30/2015",807,"sampled_as_adult",68.66004715,52194.14636,0.63,"P526"
"186",186,186,186,186,"P774","10/19/2015","B7103","P","M","7/6/2015",105,"sampled_as_juvenile",89.02375087,1208532.368,-0.76,"P535"
"187",187,187,187,187,"P775","10/22/2015","B7118","P","F","7/6/2015",108,"sampled_as_juvenile",76.69529207,538111.4901,-0.76,"P535"
"188",188,188,188,188,"P791","8/4/2016","B7901","P","F","1/21/2016",196,"sampled_as_juvenile",133.8891216,2512637.04,-0.09,"P529"
"189",189,189,189,189,"P795","9/12/2016","B8180","P","F","4/9/2016",156,"sampled_as_juvenile",88.12304374,690716.618,0.305,"P566"
"190",190,190,190,190,"P795","11/9/2016","B8423","P","F","4/9/2016",214,"sampled_as_juvenile",89.19484046,186765.1174,0.295,"P566"
"191",191,191,191,191,"P796","11/9/2016","B8427","P","M","4/9/2016",214,"sampled_as_juvenile",111.1540838,160256.7659,0.32,"P566"
"192",192,192,192,192,"P796","1/16/2017","B8833","P","M","4/9/2016",282,"sampled_as_juvenile",87.59252133,185280.1611,0.33,"P566"
"193",193,193,193,193,"P801","10/15/2016","B8390","P","M","5/29/2016",139,"sampled_as_juvenile",150.4194157,323186.2461,0.1,"P381"
"194",194,194,194,194,"P805","11/15/2016","B8452","P","F","5/29/2016",170,"sampled_as_juvenile",79.24311865,356389.1194,0.15,"P381"
